SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),186-188 Jules Ave,San Francisco,CA,94112,988000,4,2,Ingleside,2200,1873,1946,7,449,,Active,,,http://www.redfin.com/CA/San-Francisco/186-Jules-Ave-94112/home/1793495,San Francisco MLS,478131,N,Y,37.7215748,-122.4609928
MLS Listing,,Single Family Residential,191 San Felipe Ave,San Francisco,CA,94127,2695000,3,3,Monterey Heights,2850,3933,1926,22,946,2,Active,,,http://www.redfin.com/CA/San-Francisco/191-San-Felipe-Ave-94127/home/1212225,San Francisco MLS,477522,N,Y,37.7323193,-122.4634647
MLS Listing,,Condo/Co-op,2211 California St #407,San Francisco,CA,94115,789000,1,1,Pacific Heights,615,,1911,36,1283,577,Active,,,http://www.redfin.com/CA/San-Francisco/2211-California-St-94115/unit-407/home/147575262,San Francisco MLS,476768,N,Y,37.7889918,-122.4309977
MLS Listing,,Condo/Co-op,1046 Jackson St,San Francisco,CA,94133,1495000,3,2,Nob Hill,1210,,2017,42,1236,375,Active,,,http://www.redfin.com/CA/San-Francisco/1046-Jackson-St-94133/home/147160870,San Francisco MLS,476536,N,Y,37.7954304,-122.4123244
MLS Listing,,Condo/Co-op,829 Folsom St #406,San Francisco,CA,94107,770000,1,1,Yerba Buena,675,,2010,42,1141,743,Active,,,http://www.redfin.com/CA/San-Francisco/829-Folsom-St-94107/unit-406/home/40142702,San Francisco MLS,476530,N,Y,37.7811548,-122.4016513
MLS Listing,,Condo/Co-op,161 Gilbert St #15,San Francisco,CA,94103,749000,1,1.5,South of Market,760,,1995,43,986,620,Active,,,http://www.redfin.com/CA/San-Francisco/161-Gilbert-St-94103/unit-15/home/12396003,San Francisco MLS,476440,N,Y,37.7730892,-122.4017629
MLS Listing,,Condo/Co-op,1080 Sutter St #803,San Francisco,CA,94109,899000,2,1,Downtown,,,2014,44,,671,Active,,,http://www.redfin.com/CA/San-Francisco/1080-Sutter-St-94109/unit-803/home/52321520,San Francisco MLS,476365,N,Y,37.7882378,-122.4180578
MLS Listing,,Condo/Co-op,1440 Broadway #201,San Francisco,CA,94109,869000,1,1,Nob Hill,763,,1982,51,1139,632,Active,,,http://www.redfin.com/CA/San-Francisco/1440-Broadway-94109/unit-201/home/1762586,San Francisco MLS,475889,N,Y,37.7962646,-122.4208442
MLS Listing,,Condo/Co-op,2200 Pacific Ave Unit 6B,San Francisco,CA,94115,1379000,1,1.5,Pacific Heights,1172,,1962,53,1177,1206,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/2200-Pacific-Ave-94115/unit-6B/home/1434384,San Francisco MLS,475647,N,Y,37.7939819,-122.4317719
MLS Listing,,Condo/Co-op,830 Alabama St Unit B,San Francisco,CA,94110,1350000,3,2,Inner Mission,1639,,1900,58,824,,Active,,,http://www.redfin.com/CA/San-Francisco/830-Alabama-St-94110/unit-B/home/21857633,San Francisco MLS,475432,N,Y,37.7581599,-122.411765
MLS Listing,,Condo/Co-op,1042 Jackson St,San Francisco,CA,94133,1745000,4,3,Nob Hill,,,,85,,410,Active,,,http://www.redfin.com/CA/San-Francisco/1042-Jackson-St-94133/home/1450579,San Francisco MLS,474386,N,Y,37.7954586,-122.4122859
